Name,Address,City,State
CRUMZZ BAR AND GRILL,"395 SOUTH LIMESTONE, STE. 110",Lexington,KY
INSOMNIA COOKIES,433 JERSEY ST,Lexington,KY
NORTH LIME COFFEE & DONUTS,3101 CLAYS MILL ROAD 300A,Lexington,KY
RALLY'S #23,2975 RICHMOND ROAD,Lexington,KY
"HONEY BAKED HAM COMPANY, THE",2600 NICHOLASVILLE RD,Lexington,KY
CROSSINGS/BANG,117 N LIMESTONE ST,Lexington,KY
DOUBLE TREE GUEST SUITES,2601 RICHMOND ROAD,Lexington,KY
NORTHPOINT HEALTHCARE CENTER,1500 TRENT BLVD.,Lexington,KY
ATHENIAN GRILL,313 S ASHLAND AVE,Lexington,KY
OWL HOOT SHOP,650 KENNEDY RD,Lexington,KY
CRACKER BARREL OLD COUNTRY STORE #77,2220 ELKHORN RD,Lexington,KY
HAPPY DRAGON,1510 NEWTOWN PIKE,Lexington,KY
YESTERDAYS,410 W VINE ST,Lexington,KY
INDI'S FAST FOOD,670 NORTH BROADWAY,Lexington,KY
JOE BOLOGNA RESTAURANT,120 W MAXWELL ST,Lexington,KY
"TANBARK, THE",1121 TANBARK ROAD,Lexington,KY
CINCO DE MAYO,122 W. MAXWELL ST.,Lexington,KY
WENDY'S RESTAURANT,2296 THUNDERSTICK DRIVE,Lexington,KY
TEXAS ROADHOUSE RESTAURANT,3029 RICHMOND ROAD,Lexington,KY
MINIT MART #681,2297 THUNDERSTICK DRIVE,Lexington,KY
KROGER L-371,3650 BOSTON ROAD,Lexington,KY
TACO BELL #31595,1962 HARRODSBURG RD,Lexington,KY
KEARNEY HILLS GOLF CONCESSION STAND,3403 KEARNEY ROAD,Lexington,KY
NATIONAL ACADEMY,3500 ARBOR DR,Lexington,KY
SPEEDWAY #9699,803 SOUTH BROADWAY,Lexington,KY
"MARATHON, SPEAKS",1900 NEWTOWN PIKE,Lexington,KY
BANNERS,3650 BOSTON RD STE A,Lexington,KY
NAZ THREE BP,781 E NEW CIRCLE RD,Lexington,KY
PANERA BREAD #825,2573 RICHMOND RD STE 100,Lexington,KY
PORTER MEMORIAL BAPTIST CHURCH,4300 NICHOLASVILLE ROAD,Lexington,KY
OUTBACK STEAKHOUSE #1812,"127 W. TIVERTON DR., STE 184",Lexington,KY
THORNTON'S #90,1120 WINCHESTER RD,Lexington,KY
MINIT MART #671,3790 PALOMAR CENTRE DRIVE,Lexington,KY
WOODLAND EARLY LEARNING CENTER,575 WOODLAND AVENUE,Lexington,KY
GOLD STAR CHILI, FAYETTE MALL,Lexington,KY
"TOT'S LANDING LEARNING CTR,INC",3501 BEAVER PLACE RD,Lexington,KY
RALLY'S # 25,410 GEORGETOWN ROAD,Lexington,KY
P L DUNBAR HIGH SCHOOL,1600 MAN-O-WAR BLVD,Lexington,KY
CRITCHFIELD MEATS,2220 NICHOLASVILLE RD STE. 166,Lexington,KY
MCDONALD'S RESTAURANT,3765 PALOMAR CENTRE,Lexington,KY
FAITH LUTHERAN CHILD CARE MINISTRIES,1000 TATES CREEK RD,Lexington,KY
PINE MEADOWS HEALTH CARE,1608 HILL RISE DRIVE,Lexington,KY
MOE'S SOUTHWEST GRILL,"3401 NICHOLASVILLE RD, FC-6",Lexington,KY
WALMART #4607,3735 PALOMAR CENTER,Lexington,KY
ASIAN TOO EXPRESS,3401 NICHOLASVILLE RD FC-10,Lexington,KY
SUBWAY,3401 NICHOLASVILLE ROAD FC-9,Lexington,KY
SARKU JAPAN,"3401 NICHOLASVILLE RD, SP#FC-5",Lexington,KY
"A&W BURGERS, CHICKEN, FLOATS",3401 NICHOLASVILLE RD STE FL-07,Lexington,KY
STEIN'S,450 SOUTHLAND DRIVE STE B,Lexington,KY
FAZOLI'S - #1607,3775 HARRODSBURG ROAD,Lexington,KY
MAXWELL ST. PRESBYTERIAN CHUR.,180 E. MAXWELL STREET,Lexington,KY
PAPA JOHN'S PIZZA #54,3735 HARRODSBURG RD #240,Lexington,KY
LIMESTONE PIZZA,543 SOUTH LIMESTONE,Lexington,KY
UK BASEBALL CONCESSION STAND,HAGAN BASEBALL STADIUM,Lexington,KY
RESIDENCE INN,1080 NEWTOWN PIKE,Lexington,KY
SUBLEX 1 LLC,2312 PALUMBO DR #110,Lexington,KY
"MIYAKO, LLC",2547 RICHMOND ROAD,Lexington,KY
CHENGS RESTAURANT,3101 CLAYS MILL RD #302,Lexington,KY
SUBWAY,1423 - A LEESTOWN ROAD,Lexington,KY
KROGER L-721,4750 HARTLAND PARKWAY,Lexington,KY
NEIGHBORHOOD GROCERY,215 E. SEVENTH STREET,Lexington,KY
GIUSEPPE'S,4456 NICHOLASVILLE ROAD,Lexington,KY
PIZZA HUT #2970,3630 BOSTON ROAD,Lexington,KY
THE OTHER BAR,319 -A S LIMESTONE,Lexington,KY
SOUTHERN HILLS UNITED METH.,2356 HARRODSBURG ROAD,Lexington,KY
SAM'S CLUB #8188,1063 NEW CIRCLE RD,Lexington,KY
WINCHELL'S REST. & SPORTS BAR,348 SOUTHLAND DRIVE,Lexington,KY
HOOTER'S,3101 RICHMOND ROAD STE 15,Lexington,KY
CONSOLIDATED BAPTIST CHURCH,1625 RUSSELL CAVE RD.,Lexington,KY
FRIENDSHIP TOWERS @ SAYRE CHRISTIAN VILLAGE,580 GREENFIELD,Lexington,KY
TACO BELL #4653,1063 NEW CIRCLE RD  NE,Lexington,KY
LUCKY HIBACHI BUFFET,180 EAST NEW CIRCLE RD,Lexington,KY
CHRYSALIS HOUSE/FAMILY PROGRAM,120 CHRYSALIS CT,Lexington,KY
MI PEQUENA HACIENDA,3501 LANSDOWNE DR,Lexington,KY
PAPA JOHN'S PIZZA #40,2937 RICHMOND RD,Lexington,KY
SUBWAY,690 E. NEW CIRCLE RD,Lexington,KY
FAZOLI'S #1624,2200 NICHOLASVILLE RD.,Lexington,KY
SUBWAY #7507,"4218 SARON DR., SUITE 2",Lexington,KY
CHRYSALIS HOUSE,251 E MAXWELL ST,Lexington,KY
SPEEDWAY #9651,5360 ATHENS-BOONESBORO ROAD,Lexington,KY
MINIT MART #677,1975 NICHOLASVILLE RD,Lexington,KY
SUBWAY,115 N LOCUST HILL DR  STE #103,Lexington,KY
COMMON GROUNDS COFFEE HOUSE & CAFE',343 EAST HIGH STREET,Lexington,KY
GEORGETOWN CAFE,891 GEORGETOWN ST.,Lexington,KY
CATHEDRAL KITCHEN- CHRIST THE KING,299 COLONY BLVD,Lexington,KY
DOMINO'S PIZZA,828 LANE ALLEN RD,Lexington,KY
THORNTON'S FOOD MART #89,441 REDDING ROAD,Lexington,KY
VIRGINIA PLACE DAY CARE,1156 HORSEMAN'S LANE,Lexington,KY
RAMSEY'S TC,4053 S #35 TATES CREEK ROAD,Lexington,KY
FAYETTE CO. CO-OP EXT. SERVICE,1140 RED MILE PLACE,Lexington,KY
CAMPUS KIDS,1165 CENTRE PARKWAY #225,Lexington,KY
CENTENARY UNITED METHODIST,2800 TATES CREEK RD,Lexington,KY
GOLDEN WOK,3101 RICHMOND ROAD  # 302,Lexington,KY
RAISING CANE'S CHICKEN FINGERS,2555 NICHOLASVILLE ROAD,Lexington,KY
SPEEDWAY #9728,3660 BOSTON RD,Lexington,KY
STEAK EXPRESS,125 SOUTHLAND DRIVE,Lexington,KY
ARBY'S,410 W. VINE ST.,Lexington,KY
GIOVANNI'S PIZZA,4214 SARON DR,Lexington,KY
NEW GREAT WALL,393 WALLER AVE. #14,Lexington,KY
KID'S PLACE SNACK SHACK,3992 W. TIVERTON COURT,Lexington,KY
UNIVERSITY CLUB OF KY,4850 LEESTOWN RD,Lexington,KY
MINIT MART #678,4201 SARON DRIVE,Lexington,KY
LITTLE CAESAR'S PIZZA,2003 VERSAILLES ROAD,Lexington,KY
LUCKYS MARKET,"1030 S BROADWAY, STE B",Lexington,KY
SIR PIZZA,1064 S BROADWAY PLACE,Lexington,KY
FOLIAGE CHINESE RESTAURANT,3650 BOSTON RD  STE H,Lexington,KY
PARKHILL SUBWAY,3120 PIMLICO PKWY    # 144,Lexington,KY
LE MATIN BAKERY & ZUNI CAFE,890 E HIGH ST,Lexington,KY
ARBY'S - PALOMAR,3745 HARRODSBURG RD,Lexington,KY
OASIS MEDITERRANIAN  CAFE,868 -B E HIGH ST,Lexington,KY
DISMAS CHARITIES LEXINGTON,909 GEORGETOWN ROAD,Lexington,KY
INTERMEZZO CAFE,120 PATTERSON DRIVE,Lexington,KY
CLARKS PUMP & SHOP #36/CHEVRON,1971 N BROADWAY,Lexington,KY
O'SHIMI SUSHI,"1093 S BROADWAY, STE 1150",Lexington,KY
PENN STATION,2121 RICHMOND RD STE. 100 - IDLE HR CTR,Lexington,KY
PAPA JOHN'S PIZZA #32,1650 BRYAN STATION RD #105,Lexington,KY
RALLY'S #27,125 NEW CIRCLE RD NE,Lexington,KY
SHAMROCK BAR & GRILL,4750 HARTLAND PARKWAY #128,Lexington,KY
CHUY'S LEXINGTON,3841 NICHOLASVILLE CENTER ROAD,Lexington,KY
KROGER L-359,1650 BRYAN STATION RD,Lexington,KY
BURGER KING #8249,4200 SARON DR,Lexington,KY
WAH MEI,"4750 HARTLAND PKWY, STE 110",Lexington,KY
ASIAN WIND RESTAURANT,"3735 PALOMAR CTR. DR., STE 40",Lexington,KY
MAGEE'S BAKERY,724 -726 E MAIN ST,Lexington,KY
MINIT MART #668,3110 RICHMOND ROAD,Lexington,KY
FAZOLI'S #1658,4204 SARON DR.,Lexington,KY
WESTERN LITTLE LEAGUE @ CARDINAL RUN & WOLF RUN PA,PO BOX 4622,Lexington,KY
MINIT MART #670,1070 NEWTOWN PIKE,Lexington,KY
SUNSET STRIPS,410 W. VINE STREET,Lexington,KY
LEXINGTON FAST PITCH SOFTBALL, CONSTITUTION PARK,Lexington,KY
SOUTHEASTERN  BABE RUTH(13-15), VETERANS PARK - SARON DR,Lexington,KY
CHOP HOUSE,2640 RICHMOND RD,Lexington,KY
SOUTH LEXINGTON YOUTH BASEBALL (4-12),3500 SHILLITO PARK DRIVE,Lexington,KY
SPEEDWAY #9332,911 BEAUMONT CENTRE PRKY,Lexington,KY
MILK AND HONEY PRESCHOOL,2700 TODDS ROAD,Lexington,KY
SPEEDWAY #9334,2910 TATES CREEK RD,Lexington,KY
FAYETTE COUNTY PRESCHOOL,465 SPRINGHILL DRIVE,Lexington,KY
BURGER KING #8725,3348 CLAYS MILL RD,Lexington,KY
CIRCLE K #3212,1396 LEESTOWN ROAD,Lexington,KY
KING OF FOOD,"208 LEGENDS LANE, STE 105",Lexington,KY
TACO BELL #16531,4121 TATES CREEK ROAD,Lexington,KY
CHINA KING,1497 ALEXANDRIA DR.,Lexington,KY
RAMEN YA,1030 S BROADWAY  STE #2,Lexington,KY
CHILDREN'S TREEHOUSE OF KNOWLEDGE,309 OHIO STREET,Lexington,KY
SOUTHLAND PARK AQUATIC FAC., HILL-N-DALE DR,Lexington,KY
WOODLAND SWIMMING POOL, PARK AVENUE,Lexington,KY
CHRIST CHURCH CATHEDRAL,166 MARKET ST,Lexington,KY
TOT'S LANDING,2245 GULFSTREAM DRIVE,Lexington,KY
PREFERIDA SUPERMARKET,1801 ALEXANDRIA DR. # 172,Lexington,KY
DONATO'S,728 E. MAIN STREET,Lexington,KY
WAFFLE HOUSE #1055,3040 LAKECREST CIRCLE,Lexington,KY
FIRST CHOICE CHILD CARE CENTER,505 KINGSTON RD,Lexington,KY
PLATINUM PLUS,1101 EAST NEW CIRCLE ROAD,Lexington,KY
CURRY HOUSE,2220 NICHOLASVILLE RD,Lexington,KY
THE PRETZEL TWISTER,3401 NICHOLASVILLE RD K-2,Lexington,KY
KS BAR AND GRILLE,"1030 S BROADWAY, STE 1",Lexington,KY
CHINA KING,1650 BRYAN STATION RD #132,Lexington,KY
STANDING ROOM ONLY,123 W. SIXTH ST.,Lexington,KY
SONIC 3209,1026 S BROADWAY,Lexington,KY
COLES 735 MAIN,735 EAST MAIN ST,Lexington,KY
JALAPENO'S RESTAURANT,"1030 S. BROADWAY, SUITE 200",Lexington,KY
AG NORTH DELI,1100 S LIMESTONE ST.,Lexington,KY
LIQUOR BARN @ CORNER DELI,921 BEAUMONT CENTRE PKWY,Lexington,KY
AMC CLASSIC LEXINGTON 10,3151 MAPLELEAF DR.,Lexington,KY
SUBWAY,210 OLD MT. TABOR RD.,Lexington,KY
MCCARTHY'S IRISH BAR,117 S UPPER ST,Lexington,KY
CHEDDAR'S #2125,3604 WALDEN DRIVE,Lexington,KY
JY KITCHEN,1006 DELAWARE AVE,Lexington,KY
"CAFE ESTELLE, DBA, ESTELLE'S HEART",900 N BROADWAY,Lexington,KY
NORTHERN CAL RIPKIN,612 BRYANWOOD PKWY,Lexington,KY
SOUTHEASTERN CAL RIPKIN (-12) @VETERAN PARK,650 SOUTHPOINT DR,Lexington,KY
SUTTON'S RESTAURANT,110 N. LOCUST HILL,Lexington,KY
GYROZ MEDITERRANEAN,393 WALLER AVE #16,Lexington,KY
JASMINE RICE THAI RESTAURANT,911 WINCHESTER RD,Lexington,KY
DONATO'S PIZZA - BEAUMONT CTR.,3070 LAKECREST CIRCLE,Lexington,KY
BELLA NOTTE ITALIAN TRATTORIA,3715 NICHOLASVILLE RD,Lexington,KY
TOT'S LANDING,140 PROSPEROUS PLACE,Lexington,KY
MARIA'S KITCHEN #2,895 N.  BROADWAY,Lexington,KY
CHURCH OF THE GOOD SHEPHERD,533 E MAIN ST,Lexington,KY
KIDS 'R' KIDS,131 N. EAGLE CREEK,Lexington,KY
SUBWAY #18997,3061 FIELDSTONE WAY,Lexington,KY
MASALA INDIAN CUISINE,"3061 FIELDSTONE WAY, SUITE 600",Lexington,KY
BRU BURGER BAR,3010 LAKECREST CIRCLE,Lexington,KY
MCDONALD'S,1950 STANTON WAY,Lexington,KY
RONALD MCDONALD HOUSE,550 COOPER DRIVE,Lexington,KY
"SAGE RABBIT, THE",438 S ASHLAND AVE,Lexington,KY
SPEEDWAY #9395,2301 PARIS PIKE,Lexington,KY
SPEEDWAY #9398,3393 TATES CREEK RD,Lexington,KY
PENN STATION,"1080 S. BROADWAY, SUITE 101",Lexington,KY
MARY QUEEN HOLY ROSARY SCHOOL,605 HILL N DALE,Lexington,KY
QUINN CHAPEL CHILD CARE CENTER,744 CHARLES AVENUE,Lexington,KY
MANCINO'S,1590 -A LEESTOWN RD,Lexington,KY
BUFFALO WILD WINGS #15,1080 S BROADWAY,Lexington,KY
CLARK'S PUMP N SHOP #44,313 NW NEW CIRCLE RD,Lexington,KY
ROSA PARKS ELEMENTARY,1251 BEAUMONT CTR LN,Lexington,KY
LEXINGTON JUNIOR ACADEMY,968 LANE ALLEN RD,Lexington,KY
MARATHON FOOD MART,1840 BRYAN STATION ROAD,Lexington,KY
VETERANS PARK ELEMENTARY SCHOOL,4351 CLEARWATER WAY,Lexington,KY
TARGET STORE 1094,1940 PAVILLION WAY,Lexington,KY
"BEER TRAPPE, THE",811 EUCLID AVENUE,Lexington,KY
FIVE GUYS,2467 NICHOLASVILLE RD STE 120,Lexington,KY
JET'S PIZZA,4222 SARON DRIVE,Lexington,KY
KOREANA RESTAURANT,2360 WOODHILL DR  #120,Lexington,KY
FAZOLI'S #1785,1840 ALYSHEBA WAY,Lexington,KY
GOLDEN BUFFET,2907 RICHMOND RD,Lexington,KY
SPEEDWAY #9402,3151 TODDS RD,Lexington,KY
MINIT MART #663,4560 IRON WORKS PIKE,Lexington,KY
PENN STATION,2220 NICHOLASVILLE ROAD,Lexington,KY
LA GUADALUPANA,1533 EASTLAND PKWY. #8,Lexington,KY
MALONE'S - DRAKE'S,3347 TATES CREEK RD,Lexington,KY
PAPA JOHN'S #29,4250 SARON DR,Lexington,KY
TRADER JOE'S - STORE 627,2326 NICHOLASVILLE RD.,Lexington,KY
CHILI'S SOUTHWEST GRILL & BAR,2851 RICHMOND RD,Lexington,KY
MINIT MART #653,5521 ATHENS-BOONESBORO ROAD,Lexington,KY
WILLIAMS-SONOMA #310,FAYETTE MALL,Lexington,KY
T.G.I. FRIDAYS,1916 PAVILION WAY,Lexington,KY
OUR HOUSE @ THE PINNACLE CHILDCARE,4269 SARON DR.,Lexington,KY
WENDY'S,1907 PLAUDIT PLACE - #20,Lexington,KY
ATHENS SOFTBALL COMPLEX,5789 RICHMOND RD,Lexington,KY
MEIJER GREAT LAKES LP #161,2155 SIR BARTON WAY,Lexington,KY
MEIJER GREAT LAKES #161 - GAS,2145 SIR BARTON WAY,Lexington,KY
SCHLOTZSKY'S DELI,117 W TIVERTON WAY,Lexington,KY
FARM MARKET,1079 E NEW CIRCLE RD,Lexington,KY
STEAK 'N SHAKE,1832 ALYSHEBA WAY,Lexington,KY
AVON MART,5693 BRIAR HILL ROAD,Lexington,KY
MCDONALD'S,1921 PLAUDIT PLACE,Lexington,KY
RED LOBSTER #6379,1848 ALYSHEBA WAY,Lexington,KY
DONATO'S,3120 MAPLELEAF DRIVE,Lexington,KY
ORANGE LEAF (BRIGHTON),3090 HELMSDALE PL,Lexington,KY
RAMSEY'S,3090 HELMSDALE PLACE,Lexington,KY
BARNES & NOBLE BOOKSELLERS,1932 PAVILLION WAY,Lexington,KY
LONGHORN STEAK HOUSE #5187,2217 HARRODSBURG RD,Lexington,KY
THE BRECKINRIDGE,2109 CORNERSTONE DR,Lexington,KY
WALMART #2628,4051 NICHOLASVILLE RD,Lexington,KY
SUBWAY,2160 SIR BARTON WAY,Lexington,KY
KIDS R KIDS,3271 BEAUMONT CENTRE CIRCLE,Lexington,KY
OLD CHICAGO,1924 PAVILLION WAY,Lexington,KY
BEAUMONT BAR & GRILL,3070 LAKECREST CIRCLE # 625,Lexington,KY
COURTYARD LEXINGTON SOUTH/HAMBURG PL,1951 PLEASANT RIDGE DRIVE,Lexington,KY
DEPOT DELICATESSEN,"5751 BRIAR HILL ROAD, BLD 226",Lexington,KY
WAFFLE HOUSE # 2299,1134 WINCHESTER ROAD,Lexington,KY
HILTON GARDEN INN,1973 PLAUDIT PLACE,Lexington,KY
MINIT MART #676,905 S LIMESTONE ST,Lexington,KY
EMBASSY SUITES LEXINGTON,1801 NEWTOWN PIKE,Lexington,KY
AFTON COMMUNITY DAY,"3743 RED RIVER DRIVE, STE 1",Lexington,KY
DONATO'S PIZZA,265 NEW CIRCLE ROAD,Lexington,KY
SUPER MERCADA AQUASCALIENTES 1,1424 ALEXANDRIA,Lexington,KY
CIRCLE K #3211,3470 RICHMOND ROAD,Lexington,KY
"KIDS KARE, INC.",2094 HARRODSBURG ROAD,Lexington,KY
MCDONALD'S RESTAURANT #23458,1620 LEESTOWN ROAD,Lexington,KY
O'CHARLEY'S # 289,2099 HARRODSBURG ROAD,Lexington,KY
CHAO CAJUN #F-22,3473 NICHOLASVILLE RD,Lexington,KY
MINIT MART #667,4096 NICHOLS PARK DR,Lexington,KY
WAFFLE HOUSE # 1408,2740 RICHMOND RD,Lexington,KY
TACO BELL #20363,1935 PLAUDIT PLACE,Lexington,KY
ECO CAFE,975 E NEW CIRCLE ROAD,Lexington,KY
CHILI'S #600,108 MARKETPLACE DR,Lexington,KY
"LEXINGTON ROOSTERS, LLC",124 MARKETPLACE DRIVE,Lexington,KY
WAFFLE HOUSE #1334,1912 PLAUDIT PLACE,Lexington,KY
ZEN SUSHI,3070 LAKECREST CIRCLE #500,Lexington,KY
ARBY'S #6911,1949 PLAUDIT PLACE,Lexington,KY
GOOD FOODS MARKET & CAFE,455 D  SOUTHLAND DRIVE,Lexington,KY
PAPA JOHNS  # 18,265 AVENUE OF CHAMPIONS,Lexington,KY
LEXHANWOORI RESTAURANT,371 S. LIMESTONE,Lexington,KY
KENTUCKY INDOOR SOCCER & SPORTS,404 SPORTING CT,Lexington,KY
PAPA JOHN'S PIZZA #1449,"1610 LEESTOWN ROAD, SUITE 11",Lexington,KY
MINIT MART #673,2420 RICHMOND ROAD,Lexington,KY
DOMINO'S,3090 HELMSDALE #300,Lexington,KY
RAFFERTY'S,1865 ALYSHEBA WAY,Lexington,KY
THE KITCHEN @ A. S. EATS,"312 S ASHLAND AVE, STE 100",Lexington,KY
LITTLE CAESAR'S PIZZA,3601 B WALDEN DRIVE,Lexington,KY
WAFFLE HOUSE # 1375,3601 -A WALDEN DRIVE,Lexington,KY
SEASON'S CATERING & SPECIAL OCCASIONS,333 N ASHLAND AVE,Lexington,KY
RAMSEY'S,4391 OLD HARRODSBURG RD,Lexington,KY
LOGAN'S ROADHOUSE,1908 PAVILLION WAY,Lexington,KY
ST. PETER & PAUL SCHOOL,423 W  SHORT ST,Lexington,KY
LEXINGTON BEERWORKS,213 NORTH LIMESTONE,Lexington,KY
LA CABANA,1414 BRYAN AVE,Lexington,KY
LIBERTY RIDGE SENIOR LIVING,701 LIBERTY RIDGE LN,Lexington,KY
MEIJER #184,351 WEST REYNOLDS RD,Lexington,KY
CP FOOD MART,1161 CENTRE PARKWAY,Lexington,KY
DAIRY QUEEN #309,350 VIRGINIA AVE,Lexington,KY
C & J FOOD BAR,1230 EASTLAND PARKWAY,Lexington,KY
HAMBURG PAVILION STADIUM 16,1949 STARSHOOT ROAD,Lexington,KY
SANTE FE,2350 WOODHILL DR. #172,Lexington,KY
MCDONALD'S,100 MARKET PLACE  DR.,Lexington,KY
MEIJER GAS STATION #184,391 WEST REYNOLDS RD,Lexington,KY
SUBWAY 52863,4101 TATES CREEK CENTER DR. #160,Lexington,KY
WALMART #2783,500 NW NEW CIRCLE RD,Lexington,KY
MARTIN LUTHER KING ACADEMY,2200 LIBERTY RD,Lexington,KY
THE BRIDGE,342 ROMANY ROAD,Lexington,KY
DAIRY QUEEN,464 W NEW CIRCLE RD,Lexington,KY
TORTILLERIA RAMIREZ,1429 ALEXANDRIA DRIVE,Lexington,KY
PAZZO'S,385 S LIMESTONE,Lexington,KY
ARLINGTON CHRISTIAN CHURCH,1206 N  LIMESTONE ST,Lexington,KY
GREENTREE RESTAURANT,521 W  SHORT ST,Lexington,KY
"TIN ROOF, THE",303 SOUTH LIMESTONE,Lexington,KY
SAUL GOOD RESTAURANT & PUB,1808 ALYSHEBA WAY,Lexington,KY
DOMINO'S PIZZA  #180,524 WEST NEW CIRCLE RD,Lexington,KY
CHARLEY'S PHILLY STEAK,3401 NICHOLASVILLE ROAD  FC-1,Lexington,KY
GIOVANNI'S OF NEW CIRCLE,128 E. NEW CIRCLE RD,Lexington,KY
SIR PIZZA,463 WEST NEW CIRCLE ROAD,Lexington,KY
EL TORO RESTAURANT,1917 NICHOLASVILLE ROAD,Lexington,KY
HARTLAND HILLS,1005 TANBARK ROAD,Lexington,KY
HIGH STREET NEIGHBORHOOD CENTER,228 S LIMESTONE,Lexington,KY
MALONE'S,1920 PLEASANT RIDGE DR,Lexington,KY
MINIT MART #680,930 SOUTH BROADWAY,Lexington,KY
MCDONALD'S,768 WINCHESTER ROAD-SUITE 100,Lexington,KY
GATTI TOWN,2524 NICHOLASVILLE RD,Lexington,KY
GREEN'S CAFE,630 E NEW CIRCLE RD,Lexington,KY
KID'S CAFE, SHILOH BAPTIST CHURCH,Lexington,KY
SONIC 4301,234 E. NEW CIRCLE ROAD,Lexington,KY
REDI-MART/MARATHON,1970 PLEASANT RIDGE,Lexington,KY
KENTUCKY BASKETBALL ACADEMY,273 RUCCIO WAY,Lexington,KY
JIMMY JOHN'S,3130 MAPLELEAF DRIVE,Lexington,KY
BUFFALO WILD WINGS GRILL & BAR #49,3094 OLD TODDS RD.,Lexington,KY
PENN STATION,"3090 TODDS ROAD, SUITE 305",Lexington,KY
PEPE'S MEXICAN RESTAURANT,3280 EAGLE VIEW LANE,Lexington,KY
NORTH STAR ACADEMY,1816 BRYAN STATION ROAD,Lexington,KY
HALLIS SCHOOL,915 MURRAY DR. SUITE 342-351,Lexington,KY
CALVARY BAPTIST CHURCH,130 E. HIGH STREET,Lexington,KY
A CUP OF COMMON WEALTH,105 EASTERN AVE,Lexington,KY
"SAHARA MEDITERRANEAN GROUP, INC","3061 FIELDSTONE WAY, STE. 1200",Lexington,KY
SCAPA AT LAFAYETTE,400 LAFAYETTE AVE,Lexington,KY
GOLD STAR,1900 PLAUDIT PLACE,Lexington,KY
HOPE CENTER FOR WOMEN,1524 VERSAILLES ROAD,Lexington,KY
KENTUCKY ALE TAP ROOM,207 LEGENDS LANE,Lexington,KY
LOUIE'S  WINE DIVE/CHEVY CHASE KITCHEN,854 E HIGH STREET,Lexington,KY
TATES CREEK SOFTBALL BOOSTERS,1111 CENTRE PKWY,Lexington,KY
CATERING BY DONNA,1054 W HIGH ST,Lexington,KY
DUNBAR BASEBALL CONCESSION,1600 MAN-0-WAR,Lexington,KY
RAMSEY'S COMMISSARY,938 WINCHESTER ROAD,Lexington,KY
TOMO'S RESTAURANT,848 E. HIGH STREET,Lexington,KY
MEGAMINDS EDUCARE,679 LIMA DRIVE,Lexington,KY
DONATO'S PIZZA,"3851 KENESAW DRIVE, STE. A",Lexington,KY
QDOBA MEXICAN GRILL #2080,2630 RICHMOND ROAD,Lexington,KY
PENN STATION,1719 NORTH BROADWAY,Lexington,KY
COCKTAILS BAR & GRILL,3090 TODDS RD #150,Lexington,KY
SIDEBAR GRILL,147 NORTH LIMESTONE STREET,Lexington,KY
DOMINO'S PIZZA  #  1406,130 TIVERTON WAY-WEST,Lexington,KY
GOLDEN CORRAL,185 E NEW CIRCLE RD,Lexington,KY
OUTBACK STEAKHOUSE #1895,1957 BRYANT ROAD,Lexington,KY
"VILLAGE IDIOT, THE",307 W SHORT STREET,Lexington,KY
ST. JOSEPH HOSPITAL JAVA JOE'S,1 ST. JOSEPH DR.,Lexington,KY
"BAPTIST HEALTH LEXINGTON, EDUCATION CENTER",1720 NICHOLASVILLE,Lexington,KY
SUBWAY,175 E MAIN ST  STE #100,Lexington,KY
WEST COAST GOURMET PIZZA,2473 FORTUNE DR STE 100,Lexington,KY
KY FRIED CHICKEN-PIZZA HUT,1907 PLAUDIT PLACE #30,Lexington,KY
ALFALFA RESTAURANT,141 E. MAIN ST,Lexington,KY
CHICK-FIL-A @ TURFLAND MALL,2025 HARRODSBURG ROAD,Lexington,KY
J. RENDER'S SOUTHERN TABLE & BAR,3191 BEAUMONT CTR CIR STE 110,Lexington,KY
THE CAFE,800 ROSE ST RM 130,Lexington,KY
TATES CREEK HIGH SCHOOL (FTBALL),1111 CENTRE PARKWAY,Lexington,KY
CARRABBA'S ITALIAN GRILL #6802,1881 PLAUDIT PLACE,Lexington,KY
DUNBAR FOOTBALL CONCESSION,1600 MAN O'WAR BLVD.,Lexington,KY
CHRYSALIS COMMUNITY CENTER,1589 HILL  RISE DRIVE,Lexington,KY
#1 CHINA BUFFET,"125 E. REYNOLDS ROAD, STE. 120",Lexington,KY
SUBWAY STORE #27479,3851 KENESAW DRIVE-SUITE 120,Lexington,KY
BLUEGRASS COMMUNITY ACTION PARTNERSHIP,650 TOWER PLAZA,Lexington,KY
PIZZA HUT # 2969,"3094 RICHMOND ROAD, SUITE D-1",Lexington,KY
BLUEGRASS GIRLS FASTPITCH,2000 PARKERS MILL RD,Lexington,KY
EL MILAGRO DOS,1545 ALEXANDRIA DRIVE # 1,Lexington,KY
TEMPLE ADATH ISRAEL,124 N ASHLAND AVE,Lexington,KY
STARBUCKS COFFEE # 2608,325 W. MAIN STREET #130,Lexington,KY
BACKSTRETCH BAR & GRILL,1784 BRYAN STATION RD,Lexington,KY
EL HUARACHE,1316 RUSSELL CAVE RD.,Lexington,KY
KROGER L-737,1051 CHINOE RD,Lexington,KY
WAFFLE HOUSE # 1565,859 SOUTH BROADWAY,Lexington,KY
KIDS EMPOWERMENT LEARNING ACADEMY,1527 N LIMESTONE ST,Lexington,KY
GUMBO YA YA,1080 SOUTH BROADWAY # 107,Lexington,KY
PEKING CAFE,3181 BEAUMONT CTR.CIR. #104,Lexington,KY
