,Name,Street,City,State
548,DONG YANG MARKET,"3101 CLAYS MILL RD., STE 102",Lexington,Kentucky
550,DONUT DAYS,185 SOUTHLAND DRIVE,Lexington,Kentucky
551,DOODLES,262 NORTH LIMESTONE,Lexington,Kentucky
552,DOODLES BREAKFAST AND LUNCH STATE MOBILE,262 N LIMESTONE,Lexington,Kentucky
553,DOUBLE DOGS,"1916 JUSTICE DRIVE, STE 130",Lexington,Kentucky
554,DOUBLE H BBQ,1244 VERSAILLES RD,Lexington,Kentucky
555,DOUBLE TREE GUEST SUITES,2601 RICHMOND ROAD,Lexington,Kentucky
557,DRAGON BALL ICE CREAM,3401 NICHOLASVILLE RD. SUITE 311,Lexington,Kentucky
558,D'S CAFE,1818 BRYAN STATION RD,Lexington,Kentucky
560,DUDLEY'S RESTAURANT,259 W SHORT ST,Lexington,Kentucky
562,DUNBAR BASEBALL CONCESSION,1600 MAN-0-WAR,Lexington,Kentucky
563,DUNBAR FOOTBALL CONCESSION,1600 MAN O'WAR BLVD.,Lexington,Kentucky
564,DUNBAR HIGH SCHOOL SOFTBALL,1600 MAN-O-WAR BLVD.,Lexington,Kentucky
565,DUNKIN DONUTS,316 E NEW CIRCLE RD,Lexington,Kentucky
573,DURANGO'S MEXICAN RESTAURANT,"2121 RICHMOND ROAD, SUITE 150",Lexington,Kentucky
574,DV8,"867 S BROADWAY, SUITE #140",Lexington,Kentucky
577,EASTERN STATE HOSPITAL - KITCHEN,1350 BULL LEA LANE,Lexington,Kentucky
578,EASTLAND PARK CHURCH OF THE NAZARENE,1605 JENNIFER RD,Lexington,Kentucky
580,EDIBLE ARRANGEMENTS,"3101 RICHMOND ROAD, STE. 304",Lexington,Kentucky
582,EDLEY'S BBQ,114 SUMMIT @ FRITZ FARM SUITE 110,Lexington,Kentucky
585,EDUCARE LEARNING CENTER,2832 SNOW ROAD,Lexington,Kentucky
586,EDYTHE J HAYES MIDDLE SCHOOL,260 RICHARDSON PLACE,Lexington,Kentucky
587,EIFFEL PIZZA,3449 BUCKHORN DR STE B,Lexington,Kentucky
588,EIGHT HORSE GLUTEN FREE BAKERY,442 1/2 S ASHLAND AVE,Lexington,Kentucky
589,EINSTEIN'S BAGELS,505 ROSE ST,Lexington,Kentucky
590,EL ANTOJITO,565 E NEW CIRCLE RD. STE #5,Lexington,Kentucky
592,EL CAMPESINO,1340 ALEXANDRA DR APT 6102,Lexington,Kentucky
593,EL CHARRO AUTHENTIC MEXICAN CUISINE,4371 OLD HARRODSBURG RD STE 180/190,Lexington,Kentucky
595,EL COSTENO JR,1144 WINBURN DR,Lexington,Kentucky
596,EL COSTENO JR 2,1144 WINBURN DR,Lexington,Kentucky
597,EL ESPALON MEXICAN RESTAUANT,"191 JEFFERSON STREET, 1ST FLOOR",Lexington,Kentucky
598,EL GRAN TAKO,340 E. NEW CIRCLE ROAD STE.100,Lexington,Kentucky
601,EL GRAN TAKO #2,1801 ALEXANDRIA DR. # 156,Lexington,Kentucky
603,EL HUARACHE,1316 RUSSELL CAVE RD.,Lexington,Kentucky
608,EL MALECON RESTAURANT,481 W NEW CIRCLE RD STE 170,Lexington,Kentucky
609,EL MANGO NIEVERIA & SNACKS,1414 VILLAGE DR,Lexington,Kentucky
610,EL MARIACHI MEXICAN RESTAURANT,125 TOWNE CENTER DR STE 115,Lexington,Kentucky
611,EL MILAGRO DOS,1545 ALEXANDRIA DRIVE # 1,Lexington,Kentucky
613,EL PATRON MEXICAN RESTAURANT,1765 ALEXANDRIA DR,Lexington,Kentucky
614,EL RANCHO TAPATIO TAQUERIA &,144 BURT ROAD,Lexington,Kentucky
616,EL REY DE-LOS POLLOS & EL REY DE MARISCOS,1485-1 ALEXANDRIA DR.,Lexington,Kentucky
618,EL SABOR DE MEXICO RESTAURANT & TAYUENA,1505 RUSSELL CAVE RD.,Lexington,Kentucky
619,EL SABROSO,1445 VILLAGE DR,Lexington,Kentucky
622,EL TORO RESTAURANT,1917 NICHOLASVILLE ROAD,Lexington,Kentucky
624,EMBASSY SUITES BY HILTON LEXINGTON GREEN,245 LEXINGTON GREEN CIRCLE,Lexington,Kentucky
625,EMBASSY SUITES LEXINGTON,1801 NEWTOWN PIKE,Lexington,Kentucky
626,EMERSON CENTER,2050 GARDEN SPRINGS DR,Lexington,Kentucky
627,EMPYREAL ARTISAN ALES,1224 MANCHESTER ST,Lexington,Kentucky
628,ENTERTAINMENT CENTER,4201 VERSAILLES RD,Lexington,Kentucky
629,EPPINGS ON EAST SIDE,264 WALTON AVE.,Lexington,Kentucky
630,EQUESTRIAN ROOM,4201 VERSAILLES RD,Lexington,Kentucky
631,EXPRESS 11,430 WEST VINE STREET,Lexington,Kentucky
633,EXPRESS 34,430 W VINE ST.,Lexington,Kentucky
634,F & D MARKET,573 ELM TREE LANE,Lexington,Kentucky
640,FAILTE IRISH IMPORTS,113 S UPPER ST,Lexington,Kentucky
642,FAIRFIELD INN & SUITES,2100 HACKNEY PLACE,Lexington,Kentucky
649,FAITH LUTHERAN CHILD CARE MINISTRIES,1000 TATES CREEK RD,Lexington,Kentucky
651,FAR OUT ESPRESSO,962 DELAWARE AVE,Lexington,Kentucky
652,FARM MARKET,1079 E NEW CIRCLE RD,Lexington,Kentucky
654,FAYETTE CO. CO-OP EXT. SERVICE,1140 RED MILE PLACE,Lexington,Kentucky
655,FAYETTE COUNTY PRESCHOOL,465 SPRINGHILL DRIVE,Lexington,Kentucky
656,FAYETTE REG. JUV. DET. CTR.,3475 SPURR ROAD,Lexington,Kentucky
657,FAZOLI'S - #1607,3775 HARRODSBURG ROAD,Lexington,Kentucky
659,FAZOLI'S #1605,2195 -A RICHMOND ROAD,Lexington,Kentucky
660,FAZOLI'S #1624,2200 NICHOLASVILLE RD.,Lexington,Kentucky
661,FAZOLI'S #1658,4204 SARON DR.,Lexington,Kentucky
663,FAZOLI'S #1785,1840 ALYSHEBA WAY,Lexington,Kentucky
668,FEED THE HUNGRY,811 BRYAN AVENUE,Lexington,Kentucky
670,FIDAS CARIBBEAN CAFE,601 NORTH LIMESTONE,Lexington,Kentucky
671,FIREHOUSE SUBS,1781 SHARKEY WAY,Lexington,Kentucky
673,FIRST CHOICE CHILD CARE CENTER,505 KINGSTON RD,Lexington,Kentucky
674,FIRST PRESBYTERIAN CHURCH,171 MARKET ST,Lexington,Kentucky
677,FIRST UNITED METHODIST CHURCH,200 WEST HIGH STREET,Lexington,Kentucky
679,FIRST WATCH,3071 RICHMOND RD.,Lexington,Kentucky
682,FIRST WATCH - NICHOLASVILLE RD,119 W. REYNOLDS RD,Lexington,Kentucky
683,FIRST WATCH RESTAURANT,2251 WAR ADMIRAL WAY STE 130,Lexington,Kentucky
684,FIRST WATCH SIMPSON CENTER,"1080 S BROADWAY, STE 301",Lexington,Kentucky
685,FITZ'S SPORTS BAR,209 OLD GEORGETOWN STREET,Lexington,Kentucky
686,FIVE GUYS,2467 NICHOLASVILLE RD STE 120,Lexington,Kentucky
687,FIVE GUYS BURGERS & FRIES,3090 HELMSDALE PLACE STE. 370,Lexington,Kentucky
688,FOLIAGE CHINESE RESTAURANT,3650 BOSTON RD  STE H,Lexington,Kentucky
691,FOOD CHAIN INC,501 W 6TH ST,Lexington,Kentucky
692,FREDDY'S FROZEN CUSTARD,2500 POLO CLUB BLVD,Lexington,Kentucky
695,FREDERICK DOUGLASS HIGH SCHOOL,2800 WINCHESTER RD,Lexington,Kentucky
696,FREDERICK DOUGLASS HS INDOOR CONCESSION,2000 WINCHESTER RD,Lexington,Kentucky
697,FREDERICK DOUGLASS HS OUTSIDE CONCESSION,2000 WINCHESTER RD,Lexington,Kentucky
698,FRESH FOOD COMPANY,400 HILLTOP AVE,Lexington,Kentucky
700,"FRESH MARKET, THE",3387 TATES CREEK ROAD,Lexington,Kentucky
704,FRESHII,680 ROSE ST,Lexington,Kentucky
705,FRIENDSHIP TOWERS @ SAYRE CHRISTIAN VILLAGE,580 GREENFIELD,Lexington,Kentucky
706,FRISCH'S RESTAURANT,1849 ALYSHEBA WAY,Lexington,Kentucky
710,FRUTERIA LAS VEVACRUZANAS,"133 VENTURE CT, STE 170",Lexington,Kentucky
712,FUJISAN FRANCHISING CORP.,1063 E NEW CIRCLE RD,Lexington,Kentucky
713,FUSION @ ERICKSON HALL,135 GRAHAM AVE,Lexington,Kentucky
714,"FUSION BREWING, LLC","1170 MANCHESTER ST, STE 150",Lexington,Kentucky
715,GALLOPS INC,5355 ATHENS BOONESBORO RD,Lexington,Kentucky
717,GARDEN SPRINGS CHILD DEVELOPMENT CENTER,2033 GARDEN SPRINGS DRIVE,Lexington,Kentucky
718,GARDEN SPRINGS ELEMENTARY SCHOOL,2151 GARDEN SPRINGS DR,Lexington,Kentucky
719,GARRETT MORGAN ELEMENTARY,1150 PASSAGE MOUND WAY,Lexington,Kentucky
720,GATTI TOWN,2524 NICHOLASVILLE RD,Lexington,Kentucky
721,GAY BREWER JR CRS @ PICADOME,469 PARKWAY DR,Lexington,Kentucky
722,"GENJI, LLC - SUSHI BAR",2059 FINN WAY,Lexington,Kentucky
723,GEORGE PRIVETT RECOVERY CENTER,250 LOUDON AVENUE,Lexington,Kentucky
724,GEORGE'S DELI AND GROCERY,161 NORTH LIMESTONE,Lexington,Kentucky
726,GEORGETOWN CAFE,891 GEORGETOWN ST.,Lexington,Kentucky
727,GET IN SHAPE KY,"1801 ALEXANDRIA DR, STE 54",Lexington,Kentucky
728,"GIFT BOX &  TEA ROOM, THE",3330 PARTNER PLACE,Lexington,Kentucky
729,GIGI'S CUPCAKES,2703 RICHMOND RD STE 120,Lexington,Kentucky
730,GINGER WASABI SUSHI & GRILL,103 W MAXWELL ST,Lexington,Kentucky
732,GIOVANNI'S OF LEXINGTON,128 E. NEW CIRCLE RD,Lexington,Kentucky
735,GIOVANNI'S PIZZA,4214 SARON DR,Lexington,Kentucky
736,GIRLSGIRLSGIRLS BURRITOS,395 S LIMESTONE,Lexington,Kentucky
737,GIUSEPPE'S,4456 NICHOLASVILLE ROAD,Lexington,Kentucky
739,GLENDOVER ELEMENTARY SCHOOL,710 GLENDOVER RD,Lexington,Kentucky
740,GLO LEXINGTON NORTH,1935 STANTON WAY,Lexington,Kentucky
744,GO GO BURGER (STATE MOBILE),3805 BROOKDALE CIRCLE,Lexington,Kentucky
745,GOKU 2,1649 LIBERTY RD,Lexington,Kentucky
746,GOLD STAR,1900 PLAUDIT PLACE,Lexington,Kentucky
747,GOLD STAR CHILI,430 W. VINE ST.,Lexington,Kentucky
751,GOLDEN BUFFET,2907 RICHMOND RD,Lexington,Kentucky
752,GOLDEN CORRAL,185 E NEW CIRCLE RD,Lexington,Kentucky
757,GOLDEN WOK,3101 RICHMOND ROAD  # 302,Lexington,Kentucky
759,GOOD FOODS MARKET & CAFE,455 D  SOUTHLAND DRIVE,Lexington,Kentucky
761,GOODFELLA'S PIZZA,110 N MILL STREET,Lexington,Kentucky
762,GOODFELLAS PIZZERIA,1228 MANCHESTER STREET #110,Lexington,Kentucky
764,GORDON FOOD SERVICE STORE,1856 PLAUDIT PLACE,Lexington,Kentucky
768,GRAETER'S ICE CREAM,836 EUCLID AVE,Lexington,Kentucky
771,GRAND RESERVE,903 MANCHESTER ST #190,Lexington,Kentucky
772,"GRASSROOTS PHARMACY, PLLC",2304 SIR BARTON WAY SUITE 195,Lexington,Kentucky
774,GREAT BAGEL,396 WOODLAND AVENUE,Lexington,Kentucky
776,GREEK ORTHODOX CHURCH,3001 TATES CREEK RD,Lexington,Kentucky
777,GREEN CORNER STAND,430 W VINE STREET,Lexington,Kentucky
778,GREEN CUSTARD A,430 W. VINE ST.,Lexington,Kentucky
780,GREENBRIER COUNTRY CLUB,2179 BAHAMA ROAD,Lexington,Kentucky
781,GREEN'S CAFE,630 E NEW CIRCLE RD,Lexington,Kentucky
782,GREENTREE RESTAURANT,521 W  SHORT ST,Lexington,Kentucky
784,"GREY GOOSE, THE",170 JEFFERSON ST,Lexington,Kentucky
785,GRIFFIN GATE MARRIOTT RESORT AND SPA,1800 NEWTOWN PIKE,Lexington,Kentucky
786,"GRILLFISH LEXINGTON, LLC",265 N LIMESTONE ST,Lexington,Kentucky
787,GRIMALDI'S PIZZERIA,"118 MARION, STE 110",Lexington,Kentucky
789,GRIME'S,4248 SARON DR,Lexington,Kentucky
790,GRIME'S RESTAURANT,325 ROOSEVELT BLVD.,Lexington,Kentucky
794,GROWING TOGETHER PRE-SCHOOL,599 LIMA DRIVE,Lexington,Kentucky
795,GUCKENHEIMER TEMPURPEDIC,1000 TEMPUR WAY,Lexington,Kentucky
796,GUESTHOUSE INN & SUITES,2261 ELKHORN ROAD,Lexington,Kentucky
798,GUMBO YA YA,1080 SOUTH BROADWAY # 107,Lexington,Kentucky
799,GUS'S WORLD FAMOUS FRIED CHICKEN,321 EAST VINE ST,Lexington,Kentucky
800,GYROZ MEDITERRANEAN,393 WALLER AVE #16,Lexington,Kentucky
802,H & M MARKET,1220 N LIMESTONE ST,Lexington,Kentucky
806,HABIBI SWEETS AND BAKERY,"2417 NICHOLASVILLE RD, STE 100",Lexington,Kentucky
807,HALLIS SCHOOL,915 MURRAY DR. SUITE 342-351,Lexington,Kentucky
809,HAMBURG PAVILION STADIUM 16,1949 STARSHOOT ROAD,Lexington,Kentucky
811,HAMPTON INN,2251 ELKHORN RD.,Lexington,Kentucky
814,HAMPTON INN - LEXINGTON,3060 LAKECREST CIRCLE,Lexington,Kentucky
815,HANNA'S ON LIME,214 SOUTH LIMESTONE STREET,Lexington,Kentucky
816,HANNEH'S GROCERY & DELI,561 BRECKINRIDGE,Lexington,Kentucky
820,HAPPY CHINA,1301 WINCHESTER RD. #109,Lexington,Kentucky
824,HAPPY DRAGON,1510 NEWTOWN PIKE,Lexington,Kentucky
826,HAPPY PANDA,117 TOWN CENTER DR,Lexington,Kentucky
828,HARDEE'S,2990 RICHMOND RD,Lexington,Kentucky
832,HARRISON ELEMENTARY SCHOOL,161 BRUCE ST,Lexington,Kentucky
833,HARTLAND HILLS,1005 TANBARK ROAD,Lexington,Kentucky
834,HARVEY'S,200 W MAIN ST,Lexington,Kentucky
835,HAYDEN'S STOCKYARD EATERY,4561 IRON WORKS PIKE,Lexington,Kentucky
836,HEALTHY WAY LEX,460 SOUTHLAND DR,Lexington,Kentucky
838,HEAVENLY HAM,"171 W LOWRY LANE, SUITE 180",Lexington,Kentucky
839,HENRY CLAY BASEBALL BOOSTER'S,2100 FONTAINE RD.,Lexington,Kentucky
840,HENRY CLAY HIGH SCHOOL,2100 FONTAINE RD,Lexington,Kentucky
841,HENRY CLAY SOFTBALL BOOSTERS,2100 FONTAINE RD,Lexington,Kentucky
842,"HIBACHI BUFFET, INC",180 EAST NEW CIRCLE RD,Lexington,Kentucky
843,HIBACHI EXPRESS,565 S LIMESTONE,Lexington,Kentucky
845,"HIGH ON ART & COFFEE, LLC",523 E. HIGH ST,Lexington,Kentucky
846,HIGH STREET NEIGHBORHOOD CENTER,228 S LIMESTONE,Lexington,Kentucky
847,HIGHGROVE AT TATES CREEK,4251 SARON DR,Lexington,Kentucky
848,HILARY J. BOONE FACULTY CLUB,500 ROSE ST,Lexington,Kentucky
849,HILTON GARDEN INN,1973 PLAUDIT PLACE,Lexington,Kentucky
850,HILTON LEXINGTON DOWNTOWN,369 W. VINE STREET,Lexington,Kentucky
851,HOLIDAY INN EXPRESS,1000 EXPORT ST.,Lexington,Kentucky
856,HOLIDAY INN EXPRESS & SUITES,2255 BUENA VISTA RD,Lexington,Kentucky
860,HOLIDAY INN LEXINGTON HAMBURG,1976 JUSTICE DR,Lexington,Kentucky
862,HOME 2 SUITES,126 EAST LOWRY LANE,Lexington,Kentucky
863,HOMEWOOD SUITES,2033 BRYANT RD,Lexington,Kentucky
865,HOMEWOOD SUITES-FOOD,249 RUCCIO WAY,Lexington,Kentucky
867,"HONEY BAKED HAM COMPANY, THE",2600 NICHOLASVILLE RD,Lexington,Kentucky
869,HONEYWOOD RESTAURANT,"110 SUMMIT @ FRITZ FARM AVE, SUITE 140",Lexington,Kentucky
870,HONNAH-LEE BUBBLE TEA,1983 HARRODSBURG,Lexington,Kentucky
871,HOOTER'S,3101 RICHMOND ROAD STE 15,Lexington,Kentucky
872,HOP CAT,410 W SHORT STREET,Lexington,Kentucky
873,HOPE CENTER FOR WOMEN,1524 VERSAILLES ROAD,Lexington,Kentucky
874,HORSEPARK BP,4538 GEORGETOWN RD,Lexington,Kentucky
878,HORSESHOES SALOON & STEAKHOUSE,1987 NORTH BROADWAY,Lexington,Kentucky
881,HYATT PREP KITCHEN,410 W VINE ST.,Lexington,Kentucky
882,HYATT REGENCY/MAIN KITCHEN,401 W  HIGH ST,Lexington,Kentucky
884,IDLE HOUR COUNTRY CLUB,1815 RICHMOND RD,Lexington,Kentucky
886,IHOP #3596,2380 NORMON LANE SUITE 110,Lexington,Kentucky
887,IHOP RESTAURANT,1505 E NEW CIRCLE ROAD,Lexington,Kentucky
888,IMMANUEL BAPTIST CHURCH,3100 TATES CREEK ROAD,Lexington,Kentucky
889,INDI'S FAST FOOD,670 NORTH BROADWAY,Lexington,Kentucky
890,INSOMNIA COOKIES,433 JERSEY ST,Lexington,Kentucky
892,INTERMEZZO CAFE,120 PATTERSON DRIVE,Lexington,Kentucky
893,IPALAPA'S,102 W VINE ST,Lexington,Kentucky
894,IRON CHEF,"3090 OLD TODDS ROAD, STE. #130",Lexington,Kentucky
895,IROQUOIS HUNT CLUB,7496 GRIMES MILL ROAD,Lexington,Kentucky
896,J. ALEXANDERS @ LEXINGTON,4081 FINN WAY,Lexington,Kentucky
897,"J. GUMBO'S, M&M GUMBOS, LLC, DBA,",808 N LIMESTONE #1,Lexington,Kentucky
899,J. RENDER'S BBQ STATE MOBILE,1141 HAVERFORD WAY,Lexington,Kentucky
901,J. RENDER'S SOUTHERN TABLE & BAR,3191 BEAUMONT CTR CIR STE 110,Lexington,Kentucky
902,J2C ASIAN BISTRO,561 S BROADWAY SUITE #140,Lexington,Kentucky
903,JACKED - NUTRITION LLC,962 DELAWARE AVE,Lexington,Kentucky
904,JACOBS CAFETERIA (HOPE CENTER),299 W LOUDON AVE,Lexington,Kentucky
905,JALAPENO'S RESTAURANT,"1030 S. BROADWAY, SUITE 200",Lexington,Kentucky
908,JAMBA JUICE,"535 S. UPPER ST., STE. 125",Lexington,Kentucky
909,JAMES LANE ALLEN ELEM SCHOOL,1901 APPOMATTOX RD,Lexington,Kentucky
911,JASMINE RICE STATE MOBILE,911 WINCHESTER RD,Lexington,Kentucky
913,JASON'S DELI,134 MALABU DR,Lexington,Kentucky
914,JAX,161 LEXINGTON GREEN CIRCLE,Lexington,Kentucky
915,JEAN FARRIS WINERY,6825 OLD RICHMOND ROAD,Lexington,Kentucky
916,JEFF RUBY STEAKHOUSE,101 WEST VINE STREET,Lexington,Kentucky
917,JERSEY MIKES SUBS,"867 S BROADWAY, SUITE 120",Lexington,Kentucky
918,"JERSEY MIKES SUBS/ RR LEX, LLC",2901 RICHMOND RD STE 130,Lexington,Kentucky
919,JESS' BEST,944 DEPORRES AVE,Lexington,Kentucky
920,JESSIE CLARK MIDDLE SCHOOL,3341 CLAYS MILL RD,Lexington,Kentucky
922,JETS PIZZA,3735 HARRODSBURG RD UNIT 70,Lexington,Kentucky
923,JET'S PIZZA,4222 SARON DRIVE,Lexington,Kentucky
926,JET'S PIZZA KY 10,"1030 S BROADWAY, #8",Lexington,Kentucky
929,JIMMY JOHN'S,1397 W MAIN STREET,Lexington,Kentucky
941,JIN JIN CHINESE RESTAURANT,1060 CHINOE RD PLAZA #148,Lexington,Kentucky
942,JOE BOLOGNA RESTAURANT,120 W MAXWELL ST,Lexington,Kentucky
943,JOELLA'S HOT CHICKEN,101 COCHRAN RD,Lexington,Kentucky
945,JOSANNE'S,3449 BUCKHORN DR,Lexington,Kentucky
946,JOSEPH BETH BOOKSELLERS INC.,161 LEXINGTON GREEN CIRCLE,Lexington,Kentucky
948,JOSIE'S GRAB N GO,821 CHEVY CHASE PLACE,Lexington,Kentucky
949,JULIUS MARKS ELEMENTARY SCHOOL,3277 PEPPERHILL RD,Lexington,Kentucky
950,"JUMP START CAFE, LLC DBA JUMP START",2681 OLD ROSEBUD RD,Lexington,Kentucky
951,JUMP START ENRICHMENT PROGRAM,435 RACE STREET,Lexington,Kentucky
953,JY KITCHEN,1006 DELAWARE AVE,Lexington,Kentucky
954,KARE BEARS,"3155 CUSTER DRIVE, SUITE A",Lexington,Kentucky
957,KEARNEY HILLS GOLF CONCESSION STAND,3403 KEARNEY ROAD,Lexington,Kentucky
958,KENTUCKY ALE TAP ROOM,207 LEGENDS LANE,Lexington,Kentucky
961,KENTUCKY BASKETBALL ACADEMY,273 RUCCIO WAY,Lexington,Kentucky
962,KENTUCKY BLENDED NUTRITION,128 BURT RD,Lexington,Kentucky
963,KENTUCKY BLENDED NUTRITION EAST,170 N EAGLE CREEK,Lexington,Kentucky
964,KENTUCKY CATTLEMEN,430 W VINE STREET,Lexington,Kentucky
966,KENTUCKY FRIED CHICKEN,1494 BOARDWALK,Lexington,Kentucky
974,KENTUCKY HEALTH,2323 WOODHILL DR,Lexington,Kentucky
975,KENTUCKY INDOOR SOCCER & SPORTS,404 SPORTING CT,Lexington,Kentucky
976,KENTUCKY NATIVE CAFE,417 E MAXWELL STREET,Lexington,Kentucky
977,"KETCH, THE",2012 REGENCY RD,Lexington,Kentucky
978,KID'S CAFE, SHILOH BAPTIST CHURCH,Lexington,Kentucky
979,KIDS EMPOWERMENT LEARNING ACADEMY,1527 N LIMESTONE ST,Lexington,Kentucky
980,KIDS HOUSE CHILDCARE,1891 AUGUSTA DR,Lexington,Kentucky
982,"KIDS KARE, INC.",2094 HARRODSBURG ROAD,Lexington,Kentucky
983,KID'S PLACE SNACK SHACK,3992 W. TIVERTON COURT,Lexington,Kentucky
984,KIDS R KIDS,3271 BEAUMONT CENTRE CIRCLE,Lexington,Kentucky
985,KIDS 'R' KIDS,131 N. EAGLE CREEK,Lexington,Kentucky
986,KIDS UNLIMITED,1365 DEVONPORT DRIVE,Lexington,Kentucky
987,KIDS-N-KAPERS NURSERY,1896 COURTLAND,Lexington,Kentucky
988,"KIDZ CLUB, THE",2200 REGENCY RD,Lexington,Kentucky
989,KIDZ KONNECTION CHILD CARE,"1020 INDUSTRY RD., STE. 26",Lexington,Kentucky
991,KINDER CARE LEARNING CTR #936,2611 WILHITE DR,Lexington,Kentucky
992,KINDER CARE LEARNING CTR #963,3199 CUSTER DRIVE,Lexington,Kentucky
993,KINDERCARE NURSERY,628 WELLINGTON WAY,Lexington,Kentucky
994,KING OF FOOD,"208 LEGENDS LANE, STE 105",Lexington,Kentucky
998,KITCHEN ON HIGH,1226 VERSAILLES RD,Lexington,Kentucky
1000,KLAIR II,318 HILLTOP AVENUE,Lexington,Kentucky
1001,KLAIR II COMMISSARY,318 HILLTOP AVE,Lexington,Kentucky
1002,KOREANA RESTAURANT,2360 WOODHILL DR  #120,Lexington,Kentucky
1003,KROGER L-347,4014 TATES CREEK RD,Lexington,Kentucky
1005,KROGER L-359,1650 BRYAN STATION RD,Lexington,Kentucky
1009,KROGER L-361,1808 ALEXANDRIA DR,Lexington,Kentucky
1011,KROGER L-371,3650 BOSTON ROAD,Lexington,Kentucky
1019,KROGER L-407,3101 RICHMOND ROAD,Lexington,Kentucky
1021,KROGER L-721,4750 HARTLAND PARKWAY,Lexington,Kentucky
1023,KROGER L-737,1051 CHINOE RD,Lexington,Kentucky
1026,KROGER L-767,3175 BEAUMONT CENTRE CIRCLE,Lexington,Kentucky
1030,KROGER L-768,1600 LEESTOWN RD.  SUITE 150,Lexington,Kentucky
1033,KROGER L-784,704 EUCLID AVE,Lexington,Kentucky
1037,KULA EATS,2020 ARMSTRONG MILL RD APT 1234,Lexington,Kentucky
1038,KY FRIED CHICKEN-PIZZA HUT,1907 PLAUDIT PLACE #30,Lexington,Kentucky
1039,KY HORSE PARK ALLTECH #1,4089 IRONWORKS PIKE,Lexington,Kentucky
1040,KY HORSE PARK ALLTECH #2,4089 IRONWORKS PIKE,Lexington,Kentucky
1042,KY HORSE PARK ALLTECH #4,4089 IRON WORKS PIKE,Lexington,Kentucky
1043,KY HORSE PARK ALLTECH #5,4089 IRONWORKS PIKE,Lexington,Kentucky
1044,KY HORSE PARK ALLTECH COMMISSARY,4089 IRON WORKS PIKE,Lexington,Kentucky
1045,LA BONNE VIE PERSONAL CHEF SERVICES,962 DELAWARE AVE,Lexington,Kentucky
1046,LA CABANA,1414 BRYAN AVE,Lexington,Kentucky
1050,LA GUADALUPANA,1533 EASTLAND PKWY. #8,Lexington,Kentucky
1060,LA MADALEINE,400 HILLTOP,Lexington,Kentucky
1062,LA MARQUESA,3101 CLAYS MILL RD STE 400,Lexington,Kentucky
1066,LA MICHOACANA DE LEXINGTON,1801 ALEXANDRIA DR STE 164,Lexington,Kentucky
1068,LA PATRONA,1424 VERSAILLES RD,Lexington,Kentucky
1072,LA PETITE ACADEMY,148 MALABU DR,Lexington,Kentucky
1073,LA PRINCESA SUPER MARCADO,1430 VILLAGE DR,Lexington,Kentucky
1077,"LA REINA MICHOACANA, LLC","185 PASADENA DRIVE, SUITE 150",Lexington,Kentucky
1079,LA TAQUISA,"130 W. TIVERTON WAY, #190",Lexington,Kentucky
1081,LA UNICA,1429 VILLAGE DR,Lexington,Kentucky
1084,LAFAYETTE AT COUNTRY PLACE,690 MASON HEADLEY ROAD,Lexington,Kentucky
1087,LAFAYETTE CHILD CARE,1836 CLAYS MILL ROAD,Lexington,Kentucky
1089,LAFAYETTE HIGH SCHOOL,400 REED LN,Lexington,Kentucky
1090,LAFAYETTE HS BASEBALL BOOSTERS CONCESSION,401 REED LANE,Lexington,Kentucky
1091,LAFAYETTE HS SOFTBALL CONCESSION,401 REED LANE,Lexington,Kentucky
1092,LAKESIDE GOLF COURSE SNACK BAR,3725 RICHMOND ROAD,Lexington,Kentucky
1093,LANSDOWNE ELEMENTARY SCHOOL,336 REDDING RD,Lexington,Kentucky
1094,"LANTERN AT MORNING POINTE OF LEXINGTON, THE",225 RUCCIO WAY,Lexington,Kentucky
1097,LAS PRINCESAS,STATE MOBILE,Lexington,Kentucky
1099,LATIN LEX LOUNGE,1439 ALEXANDRIA DR,Lexington,Kentucky
1100,LE DEAUVILLE,199 NORTH LIMESTONE,Lexington,Kentucky
1101,LE MATIN BAKERY & ZUNI CAFE,890 E HIGH ST,Lexington,Kentucky
1102,"LEARNING CENTER, THE",475 PRICE ROAD,Lexington,Kentucky
1103,"LEARNING EXPERIENCE, THE",2501 SANDERSVILLE ROAD,Lexington,Kentucky
1104,LEE'S FAM. RECI. CHICKEN #7470,1487 BOARDWALK DRIVE,Lexington,Kentucky
1106,LEE'S FAM. RECI. CHICKEN #7472,3014 RICHMOND ROAD,Lexington,Kentucky
1108,LEE'S GARDEN,"680 LIMA DRIVE, #110",Lexington,Kentucky
1110,LEESTOWN MIDDLE SCHOOL,2010 LEESTOWN RD,Lexington,Kentucky
1111,LEGACY RESERVE AT FRITZ FARM,2700 MAN O WAR BLVD,Lexington,Kentucky
1112,LEGENDS 3RD BASE FROZEN,207 LEGENDS LANE,Lexington,Kentucky
1113,"LEMON TREE, THE",135 GRAHAM AVENUE,Lexington,Kentucky
1114,LEWIS HALL CAFE,1120 UNIVERSITY DRIVE #U-138,Lexington,Kentucky
1115,LEX CNTR CORP - MAIN COMMISSARY,430 W VINE ST,Lexington,Kentucky
1116,LEX CNTR CORP MAIN EXPOSITION CENTER,430 WEST VINE STREET,Lexington,Kentucky
1117,LEX EXPRESS,176 NEW CIRCLE RD,Lexington,Kentucky
1119,LEX KY ROOM,4201 VERSAILLES RD.,Lexington,Kentucky
