,Name,Street,City,State
117,"BAPTIST HEALTH LEXINGTON, EDUCATION CENTER",1720 NICHOLASVILLE,Lexington,Kentucky
118,BAR LOUIE,"3565 NICHOLASVILLE RD, SUITE 932",Lexington,Kentucky
120,BAR ONA,108 CHURCH ST,Lexington,Kentucky
121,BARNES & NOBLE BOOKSELLERS,1932 PAVILLION WAY,Lexington,Kentucky
123,BASKIN ROBBINS,3383 TATES CREEK RD,Lexington,Kentucky
124,BASKIN ROBBINS ICE CREAM,115 NORTH LOCUST HILL  # 101,Lexington,Kentucky
125,BAYMONT INN AND SUITES,2221 ELKHORN,Lexington,Kentucky
126,BAYOU BLUEGRASS CATERING@,861 S BROADWAY,Lexington,Kentucky
127,BD'S MONGOLIAN GRILL,2309 SIR BARTON WAY,Lexington,Kentucky
132,BEACH HOUSE COFFEE & TAPAS,109 W SIXTH ST,Lexington,Kentucky
133,BEAR AND THE BUTCHER,815 EUCLID AVE,Lexington,Kentucky
135,BEAUMONT BAR & GRILL,3070 LAKECREST CIRCLE # 625,Lexington,Kentucky
136,BEAUMONT FOODMART,961 MIDNIGHT PASS,Lexington,Kentucky
139,BEAUMONT MIDDLE SCHOOL,2080 GEORGIAN WAY,Lexington,Kentucky
141,BELLA FORNO,2573 RICHMOND RD STE 170,Lexington,Kentucky
142,BELLA NOTTE ITALIAN TRATTORIA,3715 NICHOLASVILLE RD,Lexington,Kentucky
144,BELLE'S BAR,156 MARKET STREET,Lexington,Kentucky
145,BEST FRIENDS BAR,500 EUCLID AVENUE,Lexington,Kentucky
147,"BICYCLE FACE, LLC",331 E SHORT ST,Lexington,Kentucky
148,BIG BLUE BIRD EARLY CHILDHOOD CTR,1945 EASTLAND PKWY,Lexington,Kentucky
149,BIG CITY PIZZA,1060 CHINOE RD #128,Lexington,Kentucky
151,BIG L'S GOURMET DOGS,404 W MAIN STREET,Lexington,Kentucky
152,BIT N BRIDLE CLUBHOUSE,4089 IRON WORKS PIKE,Lexington,Kentucky
153,BJ'S RESTAURANT & BREWHOUSE,3297 NICHOLASVILLE RD,Lexington,Kentucky
154,BLACK PEARL KIOSK,3401 NICHOLASVILLE RD,Lexington,Kentucky
156,BLAZE PIZZA,2305 SIR BARTON WAY,Lexington,Kentucky
158,BLUE 3 STAND,430 WEST VINE STREET,Lexington,Kentucky
159,BLUE CONCOURSE NO. 4,430 WEST VINE STREET,Lexington,Kentucky
160,BLUE DEVILS FOOTBALL BOOSTERS,2100 FONTAINE RD.,Lexington,Kentucky
161,BLUE DOOR SMOKEHOUSE,226 WALTON AVE,Lexington,Kentucky
162,"BLUE HERON, THE",185 JEFFERSON ST.,Lexington,Kentucky
163,BLUE REEF - SUSHI & GRILL,1080 S BROADWAY #201,Lexington,Kentucky
165,BLUE SKILLET,213 E SEVENTH ST,Lexington,Kentucky
166,BLUEFIRE BAR & GRILL,401 W. HIGH STREET,Lexington,Kentucky
168,BLUEGRASS CAFE @ BCTC,470 COOPER DRIVE,Lexington,Kentucky
170,BLUEGRASS CARE AND REHABILITATION CENTER,3576 PIMLICO PARKWAY,Lexington,Kentucky
171,BLUEGRASS CATERING,"903 MANCHESTER ST., SUITE110",Lexington,Kentucky
173,BLUEGRASS COMMUNITY ACTION PARTNERSHIP,650 TOWER PLAZA,Lexington,Kentucky
174,"BLUEGRASS FOODS, INC.",825 LANE ALLEN,Lexington,Kentucky
175,BLUEGRASS MART,464 SQUIRES CIRCLE,Lexington,Kentucky
179,BLUEGRASS SCHWARTZ,3479 BUCKHORN,Lexington,Kentucky
180,BLUEGRASS TAVERN,115 CHEAPSIDE,Lexington,Kentucky
181,BLVD GRILL,844 HAYS BLVD,Lexington,Kentucky
184,"BOB EVANS RESTAURANT, LLC  #107",2341 BUENA VISTA RD,Lexington,Kentucky
186,"BOB EVANS RESTAURANT, LLC #53",2560 RICHMOND RD,Lexington,Kentucky
188,BODEGA BY LEXINGTON PASTA,227 NORTH LIMESTONE,Lexington,Kentucky
191,BOOKER T WASHINGTON ELEMENTARY,707 HOWARD STREET,Lexington,Kentucky
192,BOURBON N'  TOULOUSE,829 EUCLID AVENUE,Lexington,Kentucky
193,BRACKTOWN BAPTIST CHURCH,3016 BRACKTOWN ROAD,Lexington,Kentucky
194,"BREAK ROOM, THE",1178 MANCHESTER STREET,Lexington,Kentucky
195,BRECKINRIDGE ELEMENTARY SCHOOL,2101 ST MATILDA DR,Lexington,Kentucky
196,BRICK OVEN PIZZERIA,4371 OLD HARRODSBURG RD #160,Lexington,Kentucky
197,BRIOCHE DOREE,550 S. LIMESTONE,Lexington,Kentucky
200,BROOMWAGON,800/802 N LIMESTONE,Lexington,Kentucky
201,BROTHERS BAR & GRILL,909 WINCHESTER RD,Lexington,Kentucky
203,BRU BURGER BAR,3010 LAKECREST CIRCLE,Lexington,Kentucky
204,BRYAN STATION BASEBALL BOOSTER CONCESSION,201 EASTIN DR,Lexington,Kentucky
206,BRYAN STATION FOOTBALL CONCESSION,201 EASTIN RD.,Lexington,Kentucky
209,BRYAN STATION HIGH - SOFTBALL,1866 EDGEWORTH DR,Lexington,Kentucky
210,BRYAN STATION HIGH SCHOOL,1866 EDGEWORTH DR,Lexington,Kentucky
211,BRYAN STATION MIDDLE SCHOOL,1865 WICKLAND DR,Lexington,Kentucky
212,BUDDHA LOUNGE,109 N MILL ST. #150,Lexington,Kentucky
213,BUDWEISER STABLES,207 LEGENDS LANE,Lexington,Kentucky
214,BUFFALO WILD WINGS #15,1080 S BROADWAY,Lexington,Kentucky
217,BURGER & SHAKE,219 E NEW CIRCLE RD,Lexington,Kentucky
218,BURGER KING #1007,2217 NICHOLASVILLE RD,Lexington,Kentucky
219,BURGER KING #17304,2548 RICHMOND ROAD,Lexington,Kentucky
220,BURGER KING #1923,451 NEW CIRCLE RD,Lexington,Kentucky
223,BURGER KING #20867,730 LANE ALLEN RD.,Lexington,Kentucky
224,BURGER KING #8249,4200 SARON DR,Lexington,Kentucky
226,BURGER KING #8725,3348 CLAYS MILL RD,Lexington,Kentucky
227,BURGERFI,391 ROSE ST,Lexington,Kentucky
230,BURRITOS EL REY,3330 PARTNER PLACE STE 114,Lexington,Kentucky
231,C & J FOOD BAR,1230 EASTLAND PARKWAY,Lexington,Kentucky
234,C & P RESTAURANT,1000 MANCHESTER ST,Lexington,Kentucky
236,CABELA'S,1510 CONSERVATION WAY,Lexington,Kentucky
240,CAFE 1101,1101 WINBAK WAY,Lexington,Kentucky
241,CAFE CENTRAL @ BAPTIST HEALTH HOSPITAL,1740 S LIMESTONE ST,Lexington,Kentucky
242,CAFE PADDOCK / KY HORSE PARK,4089 IRONWORKS PKWY,Lexington,Kentucky
243,CAFE SOUTH @ BAPTIST HEALTH HOSPITAL,1740 NICHOLASVILLE RD,Lexington,Kentucky
244,CALVARY BAPTIST CHURCH,130 E. HIGH STREET,Lexington,Kentucky
245,CAMBRIDGE PLACE,2020 CAMBRIDGE DRIVE,Lexington,Kentucky
246,"CAMPBELL HOUSE, THE",1375 S BROADWAY,Lexington,Kentucky
247,CAMPUS CATERING 1,160 AVENUE OF CHAMPIONS,Lexington,Kentucky
250,CAMPUS CATERING 2,160 AVENUE OF CHAMPIONS,Lexington,Kentucky
252,CAMPUS KIDS,1165 CENTRE PARKWAY #225,Lexington,Kentucky
253,CAMPUS PUB LLC,393 WALLER AVE,Lexington,Kentucky
255,CAPTAIN D'S,245 NEW CIRCLE ROAD,Lexington,Kentucky
259,CARAMANDA'S BAKE SHOP,332 SOUTHLAND DRIVE,Lexington,Kentucky
261,CARAMANDA'S BAKE SHOPPE,2901 RICHMOND RD #110,Lexington,Kentucky
263,CARDINAL HILL REHABILITATION HOSPITAL,2050 VERSAILLES RD,Lexington,Kentucky
264,CARDINAL VALLEY ELEM. SCHOOL,218 MANDALEY ROAD,Lexington,Kentucky
266,CARINO'S #901,2333 SIR BARTON WAY,Lexington,Kentucky
270,CARRABBA'S ITALIAN GRILL #6802,1881 PLAUDIT PLACE,Lexington,Kentucky
272,CARSON'S FOOD & DRINK,362 E MAIN STREET,Lexington,Kentucky
274,CASSIDY ELEMENTARY SCHOOL,1125 TATES CREEK RD,Lexington,Kentucky
275,CASUAL PINT,233 E MAIN STREET,Lexington,Kentucky
276,CATERING BY DONNA,1054 W HIGH ST,Lexington,Kentucky
277,CATHEDRAL KITCHEN- CHRIST THE KING,299 COLONY BLVD,Lexington,Kentucky
278,CATHOLIC ACTION CENTER,1055 INDUSTRY RD,Lexington,Kentucky
281,"CELLAR BAR & GRILL, THE",3256 LANSDOWNE DR #50,Lexington,Kentucky
282,CENTENARY UNITED METHODIST,2800 TATES CREEK RD,Lexington,Kentucky
283,CENTER FOR CLINICAL & TRANSLATIONAL SCIENCE,800 ROSE ST. ROOM C-300,Lexington,Kentucky
284,CENTERED CAFE,309 N ASHLAND AVE SUITE 180,Lexington,Kentucky
286,CENTRAL BAPTIST CHURCH,110 WILSON DOWNING RD.,Lexington,Kentucky
287,CENTRAL CHRISTIAN CHILD DEVELOPMENT CENTER,105 SPRUCE ST #125,Lexington,Kentucky
288,CENTRAL KY RECOVERY CNTR -  #2,1366 BULL LEA LANE,Lexington,Kentucky
289,CENTRAL KY RECOVERY CNTR BLDG #1,1358 BULL LEA LANE,Lexington,Kentucky
290,CENTRO AMERICANA,1426 VILLAGE DR,Lexington,Kentucky
292,"CENTRO, LOLA II LLC DBA",113 CHEAPSIDE PARK,Lexington,Kentucky
293,CHAMPS SKATE CENTER,297 RUCCIO WAY,Lexington,Kentucky
294,CHAO CAJUN #F-22,3473 NICHOLASVILLE RD,Lexington,Kentucky
296,CHARLIE BROWN'S,816 EUCLID AVE,Lexington,Kentucky
297,CHASE TAP ROOM,266 JEFFERSON ST,Lexington,Kentucky
299,CHEDDAR'S #2125,3604 WALDEN DRIVE,Lexington,Kentucky
301,CHEDDAR'S #2137,3094 HELMSDALE PL,Lexington,Kentucky
302,"CHEESECAKE FACTORY, THE",3545 NICHOLASVILLE RD,Lexington,Kentucky
304,"CHEN OSAKA , INC","3805 DYLAN PLACE, STE 130",Lexington,Kentucky
306,CHENGS RESTAURANT,3101 CLAYS MILL RD #302,Lexington,Kentucky
309,CHERISH THE CHILD,102 DENNIS DR,Lexington,Kentucky
310,CHERRY SEED COFFEE HOUSE,472 SOUTHLAND DR,Lexington,Kentucky
312,CHEVY CHASE INN,833 E. EUCLID AVENUE,Lexington,Kentucky
313,CHICK-FIL-A,1863 PLAUDIT PLACE,Lexington,Kentucky
318,CHICK-FIL-A  - FAYETTE MALL,3401 NICHOLASVILLE RD STE FC-5A,Lexington,Kentucky
320,CHICK-FIL-A @ TURFLAND MALL,2025 HARRODSBURG ROAD,Lexington,Kentucky
321,CHICK-FIL-A AT RICHMOND RD & NEW CIRCLE,2299 RICHMOND ROAD,Lexington,Kentucky
322,CHILD DEVELOPMENT CENTER OF THE BLUEGRASS,290 ALUMNI DR.,Lexington,Kentucky
324,CHILDREN'S HAVEN,736 W MAIN ST,Lexington,Kentucky
326,CHILDREN'S TREEHOUSE OF KNOWLEDGE,309 OHIO STREET,Lexington,Kentucky
327,CHILI'S #600,108 MARKETPLACE DR,Lexington,Kentucky
329,CHILI'S SOUTHWEST GRILL & BAR,2851 RICHMOND RD,Lexington,Kentucky
330,"CHILL SPOT LOUNGE, THE","680 LIMA DR, STE 150-160",Lexington,Kentucky
331,CHINA HUT,850 LANE ALLEN RD,Lexington,Kentucky
333,CHINA KING,1497 ALEXANDRIA DR.,Lexington,Kentucky
334,CHINA KITCHEN,"3094 RICHMOND ROAD, SUITE 180",Lexington,Kentucky
335,CHINA STAR,196 N. MARTIN LUTHER KING,Lexington,Kentucky
